Entity,Year,tourism_share_gdp,in_tour_arrivals_ovn_vis_tourists,business_personal_ratio,inbound_outbound_tourism
Argentina,2016,1.9176736,6668000.0,0.25977334,0.6401075
Argentina,2017,1.9862579,6711000.0,0.29889125,0.5494964
Argentina,2018,1.8397866,6942000.0,0.32824084,0.6237197
Argentina,2019,1.7732732,7399000.0,0.25214407,0.81182796
Argentina,2020,0.883223,2090000.0,0.13214286,0.73565644
Argentina,2021,0.8401535,297000.0,0.13793103,0.35654262
Azerbaijan,2016,3.7,2044000.0,0.44422323,0.5690423
Bahrain,2017,7.3250937,4373000.0,0.06328877,2.5074542
Bahrain,2018,6.129361,4366000.0,0.073454835,2.8723683
Bahrain,2019,6.554989,3849000.0,0.08805823,2.4832258
Bahrain,2020,1.3963054,827000.0,0.07822649,1.7823275
Belarus,2014,1.7846153,1080000.0,0.06943892,1.4574898
Belarus,2016,2.2304068,1929000.0,0.3369605,4.1217947
Belarus,2018,2.4975553,2142000.0,0.30208758,2.562201
Belarus,2020,1.4203699,577000.0,0.29667398,2.2716537
Belgium,2016,2.1816862,7481000.0,0.5554493,0.5594526
Belgium,2019,1.8550044,9343000.0,0.5082245,0.539403
Bermuda,2008,4.9,264000.0,0.3004926,1.375
Bhutan,2019,9.521375,316000.0,0.0583501,7.707317
Canada,2008,1.9106842,17142000.0,0.1860173,0.6340904
Canada,2009,1.918498,15737000.0,0.17719033,0.6005801
Canada,2010,1.9197601,16219000.0,0.17766647,0.56134707
Canada,2011,1.9068742,16016000.0,0.18171756,0.5260634
Canada,2012,1.9225541,16344000.0,0.17962931,0.50652367
Canada,2013,1.8881774,16059000.0,0.19010603,0.48669535
Canada,2014,1.8857429,16537000.0,0.19534515,0.49325895
Canada,2015,2.0228736,17977000.0,0.21203402,0.55716723
Canada,2016,2.0822828,19971000.0,0.22284871,0.6384999
Canada,2017,2.078699,20883000.0,0.22528896,0.6380385
Canada,2018,2.0902102,21134000.0,0.20178336,0.6319976
Canada,2019,2.090093,22145000.0,0.20723079,0.66976166
Chile,2008,3.2492762,2710000.0,0.26517275,1.4266913
Chile,2009,3.319001,2760000.0,0.36229023,1.4455559
Chile,2010,3.2462027,2801000.0,0.37844488,1.2624509
Chile,2011,3.156639,3137000.0,0.28848365,1.1893388
Chile,2012,3.454713,3554000.0,0.22414328,1.2526876
Chile,2013,3.136377,3576000.0,0.21138212,1.1923975
Chile,2014,3.1048307,3674000.0,0.2212657,1.1593562
Chile,2015,3.3981483,4478000.0,0.18277866,1.3331349
Chile,2016,3.6422906,5641000.0,0.16863476,1.5876724
Chile,2017,3.5403495,6450000.0,0.10939301,1.781768
Chile,2018,3.2959533,5723000.0,0.10726517,1.4962091
Chile,2019,3.3139246,4518000.0,0.120980546,1.350269
Colombia,2010,2.4137785,1405000.0,0.149523,0.5999146
Colombia,2011,2.213654,2043000.0,0.16379175,0.81007135
Colombia,2012,2.1300948,2180000.0,0.21293418,0.6879142
Colombia,2013,2.0882123,2288000.0,0.2543016,0.6346741
Colombia,2014,2.061599,2552000.0,0.33896834,0.6525185
Colombia,2015,1.9038471,3099000.0,0.28334948,0.80243397
Colombia,2016,2.0598714,3370000.0,0.24306634,0.88801056
Colombia,2017,2.070051,3712000.0,0.22213411,0.9240727
Colombia,2018,2.55753,4020000.0,0.20404445,0.9203297
Colombia,2019,2.6381485,4169000.0,0.19556443,0.9307881
Colombia,2020,1.2478757,1252000.0,0.10865774,0.9819608
Colombia,2021,1.7007594,2127000.0,0.07036214,0.7080559
Costa Rica,2012,4.4107556,2343000.0,0.15025042,3.0310478
Costa Rica,2013,4.6870594,2428000.0,0.1340683,3.0734177
Costa Rica,2014,4.617562,2527000.0,0.15919621,3.1666667
Costa Rica,2015,4.7099004,2660000.0,0.1869701,2.8944504
Costa Rica,2016,4.9939566,2925000.0,0.11199392,2.823359
Costa Rica,2017,4.8088317,2960000.0,0.090082124,2.573913
Costa Rica,2018,4.6541758,3017000.0,0.10449237,2.7961075
Costa Rica,2019,4.8180857,3139000.0,0.054133926,2.7224631
Costa Rica,2021,2.7197192,1347000.0,0.040955104,2.2908163
Denmark,2008,1.6828082,9016000.0,0.044996694,1.4205136
Denmark,2010,1.9747332,8744000.0,0.042877764,1.1317629
Denmark,2011,1.4525561,7864000.0,0.029268682,1.0022942
Denmark,2012,1.4730273,8443000.0,0.030079588,1.0765014
Denmark,2013,1.685459,8557000.0,0.03066817,1.2264583
Denmark,2014,1.8857125,10267000.0,0.040940445,1.2039165
Denmark,2015,1.8737764,10424000.0,0.043309417,1.1593816
Denmark,2016,1.930691,10781000.0,0.04077191,1.1170863
Denmark,2017,2.3386962,12426000.0,0.05026482,1.5365402
Denmark,2018,2.2581284,12749000.0,0.05245785,1.7055519
Denmark,2019,2.4966884,14725000.0,0.04996889,1.6202685
Denmark,2020,1.4467291,6229000.0,0.02382169,1.4725769
Denmark,2021,1.5511806,7555000.0,0.027000135,2.3742929
El Salvador,2014,2.9578712,1345000.0,0.1328,1.1564919
El Salvador,2015,3.046127,1402000.0,0.13361372,1.1216
El Salvador,2016,3.2359302,1434000.0,0.16439246,1.0163004
El Salvador,2017,3.4984808,1556000.0,0.0963083,1.1162124
El Salvador,2018,3.516774,1677300.0,0.10022958,1.3311905
Eswatini,2008,1.3648673,756000.0,0.14589372,0.642311
Eswatini,2009,1.5499594,908000.0,0.12657167,0.72931725
Eswatini,2010,1.4543798,868000.0,0.1062603,0.76073617
Eswatini,2011,1.1956245,879000.0,0.1131601,0.6954114
Eswatini,2012,1.0724595,888000.0,0.11120765,0.63292944
Eswatini,2013,0.9551701,968000.0,0.11120616,0.61538464
Eswatini,2014,0.94373035,939000.0,0.13247864,0.5666868
Eswatini,2015,1.0947849,873000.0,0.20112854,0.50963223
Eswatini,2016,0.90679115,947000.0,0.16542107,0.529346
Eswatini,2017,1.254068,921000.0,0.16535023,0.5259851
Eswatini,2018,1.1834607,782000.0,0.16362974,0.45544556
Eswatini,2019,1.1839612,680000.0,0.17788461,0.39511913
Eswatini,2020,0.7348905,193700.0,0.16689189,0.39692622
Eswatini,2021,0.69021577,170300.0,0.50823194,0.57728815
Fiji,2008,13.0,585000.0,0.083333336,4.717742
Fiji,2011,11.5,675000.0,0.07655502,5.1136365
Fiji,2012,11.5,661000.0,0.06623586,5.007576
Fiji,2016,12.6,792000.0,0.07372273,5.076923
Fiji,2017,13.5,843000.0,0.07184639,4.988166
Fiji,2018,12.6,870000.0,0.06393643,5.0
Fiji,2019,11.8,894000.0,0.06794841,5.137931
Fiji,2020,0.1,146900.0,0.07461595,3.6725
Fiji,2021,-0.1,32000.0,0.07482993,2.2857144
