Entity,Year,tourism_share_gdp,in_tour_arrivals_ovn_vis_tourists,business_personal_ratio,dom_tour_accom_hotels_and_similar_estab_guests,in_tour_accom_hotels_and_similar_estab_guests
Albania,2008,2.7570734,1247000.0,0.058955222,156000.0,57000.0
Albania,2009,2.6686888,1711000.0,0.028824834,171000.0,65000.0
Albania,2010,2.812342,2191000.0,0.019831223,181000.0,74000.0
Albania,2011,2.534773,2469000.0,0.014884043,182000.0,136000.0
Albania,2012,2.3569665,3156000.0,0.012096774,101000.0,149000.0
Albania,2013,2.3213682,2857000.0,0.015595758,106000.0,118000.0
Albania,2014,2.326408,3341000.0,0.013298753,136000.0,161000.0
Albania,2015,2.4437852,3784000.0,0.0102954125,171000.0,257000.0
Albania,2018,3.217578,5340000.0,0.01493253,421000.0,691000.0
Albania,2019,3.8442533,6128000.0,0.016051263,430000.0,736000.0
Albania,2020,2.9226747,2604000.0,0.045349065,350000.0,281000.0
Albania,2021,3.2617908,5515000.0,0.017929997,517000.0,657000.0
Argentina,2016,1.9176736,6668000.0,0.25977334,15523000.0,3843000.0
Argentina,2017,1.9862579,6711000.0,0.29889125,16763000.0,4081000.0
Argentina,2018,1.8397866,6942000.0,0.32824084,16330000.0,4280000.0
Argentina,2019,1.7732732,7399000.0,0.25214407,16289000.0,4799000.0
Argentina,2020,0.883223,2090000.0,0.13214286,4669000.0,1186000.0
Argentina,2021,0.8401535,297000.0,0.13793103,10389000.0,221000.0
Azerbaijan,2016,3.7,2044000.0,0.44422323,345000.0,777000.0
Bahrain,2017,7.3250937,4373000.0,0.06328877,48000.0,3893000.0
Bahrain,2018,6.129361,4366000.0,0.073454835,86000.0,4009000.0
Bahrain,2019,6.554989,3849000.0,0.08805823,100000.0,3502000.0
Belarus,2014,1.7846153,1080000.0,0.06943892,998000.0,741000.0
Belarus,2016,2.2304068,1929000.0,0.3369605,885000.0,813000.0
Belarus,2018,2.4975553,2142000.0,0.30208758,970000.0,1037000.0
Belarus,2020,1.4203699,577000.0,0.29667398,751000.0,320000.0
Belgium,2016,2.1816862,7481000.0,0.5554493,4326000.0,5557000.0
Belgium,2019,1.8550044,9343000.0,0.5082245,4954000.0,6800000.0
Chile,2008,3.2492762,2710000.0,0.26517275,3531000.0,1564000.0
Chile,2009,3.319001,2760000.0,0.36229023,3328000.0,1424000.0
Chile,2010,3.2462027,2801000.0,0.37844488,3337000.0,1399000.0
